"Palavra";"N"
"yourself";1
"your";34
"you";128
"years";1
"year";2
"www";3
"written";4
"writing";2
"would";7
"worldwide";1
"works";12
"working";1
"work";97
"without";7
"within";2
"with";45
"wish";2
"wipo";1
"window";1
"will";8
"widely";1
"why";1
"whose";1
"whom";1
"whole";3
"who";8
"which";21
"whether";5
"where";5
"when";7
"whatever";1
"what";4
"were";1
"well";1
"welcome";1
"we";7
"ways";2
"way";7
"was";1
"warranty";15
"warranties";2
"want";3
"waiver";1
"waive";1
"w";2
"volume";1
"void";1
"visible";1
"violation";5
"violates";1
"view";1
"versions";14
"version";25
"verbatim";3
"valid";4
"using";4
"uses";3
"users";9
"user";15
"useful";2
"used";12
"use";24
"updates";1
"until";1
"unpacking";1
"unnecessary";1
"unmodified";3
"unlimited";1
"unless";5
"under";44
"unacceptable";1
"typical";1
"type";2
"two";1
"treaty";1
"treated";1
"transmission";2
"transferring";1
"transferred";1
"transfer";1
"transaction";7
"trademarks";1
"trademark";1
"trade";1
"tools";1
"too";2
"to";192
"time";4
"thus";2
"through";4
"three";2
"threatened";1
"though";1
"those";14
"this";86
"third";9
"things";1
"they";6
"these";10
"therefore";4
"there";3
"then";4
"them";8
"their";6
"the";345
"that";91
"than";4
"terms";32
"termination";2
"terminates";1
"terminated";1
"terminate";2
"terminal";1
"term";4
"tells";1
"technological";3
"tangible";1
"take";1
"systematic";1
"system";5
"sustained";1
"survive";1
"surrender";2
"sure";3
"supports";1
"support";3
"supplement";2
"suffice";1
"sue";1
"such";21
"substantially";2
"substantial";1
"subsection";2
"subroutine";1
"subprograms";2
"sublicensing";1
"sublicenses";1
"subject";1
"subdividing";1
"storage";1
"steps";1
"status";1
"stating";4
"states";1
"statement";2
"stated";5
"state";1
"starts";1
"start";1
"standards";1
"standard";3
"stand";1
"spirit";1
"specify";1
"specifies";2
"specified";2
"specifically";3
"specific";3
"special";4
"speak";1
"spare";1
"source";42
"some";7
"solely";3
"sole";1
"sold";1
"software";27
